STT,Name,Price,RAM,Hard Drive,Weight,Brand Rank,CPU Rank,GPU Rank,Inch,Demand
134,Laptop HP 240 G9 i5 1235U/8GB/256GB/Win11 (6L1Y1PA),14490000,8,256,1.47,8,19,18,14,1
135,Laptop HP 245 G9 R5 5625U/8GB/512GB/Win11 (6L1N9PA),11190000,8,512,1.47,8,22,20,14,1
136,Laptop MSI Modern 14 C11M i3 1115G4/8GB/512GB/Win11 (011VN),9490000,8,512,1.4,12,7,18,14,1
137,Laptop HP Pavilion X360 14 ek1048TU i5 1335U/8GB/512GB/Touch/Pen/Win11 (80R26PA),20790000,8,512,1.53,8,29,15,14,1
138,Laptop Asus Vivobook 15 OLED A1505VA i5 13500H/8GB/512GB/Win11 (L1052W),16990000,8,512,1.7,14,39,18,15.6,1
139,Laptop Lenovo Ideapad 3 15IAU7 i5 1235U/8GB/512GB/Win11 (82RK001PVN),15190000,8,512,1.63,10,19,18,15.6,1
140,Laptop HP Pavilion 15 eg2086TU i3 1215U/8GB/256GB/Win11 (7C0Q8PA),12990000,8,256,1.74,8,15,18,15.6,1
141,Laptop Dell Inspiron 15 3520 i3 1215U/8GB/256GB/OfficeHS/Win11 (i3U082W11BLU),11790000,8,256,1.9,5,15,18,15.6,1
142,Laptop HP 14 ep0126TU i3 N305/8GB/256GB/Win11 (8U233PA),9990000,8,256,1.41,8,11,18,14,1
143,Laptop Lenovo Ideapad 3 15IAU7 i3 1215U/8GB/256GB/Win11 (82RK005LVN),9590000,8,256,1.63,10,15,18,15.6,1
144,Laptop Acer Aspire 3 A314 35 P3G9 N6000/4GB/256GB/Win11 (NX.A7SSV.007),6290000,4,256,1.45,15,3,18,14,1
145,Laptop Masstel E116 N4020/4GB/128GB/Win10 Pro,2990000,4,512,0.92,0,1,18,11.6,1
146,Laptop Dell Inspiron 15 3520 i7 1255U/8GB/512GB/120Hz/OfficeHS/Win11 (71003262),19690000,8,512,1.7,5,20,18,15.6,1
147,Laptop HP Pavilion 15 eg2035TX i5 1235U/8GB/512GB/2GB MX550/Win11 (6K781PA),16990000,8,512,1.74,8,19,13,15.6,1
148,Laptop Acer TravelMate P4 TMP414 51G 59R6 i5 1135G7/16GB/512GB/2GB MX350/Win11 (NX.VP9SV.001),14990000,16,512,1.4,15,10,14,14,1
149,Laptop Asus Vivobook 14 X1404VA i5 1335U/8GB/512GB/Win11 (NK123W),14690000,8,512,1.4,14,29,18,14,1
